"tropeid";"tropename";"tropefreq";"tropelink";"tropefreq2000"
"tr00074";"Absolute Xenophobe";3;"AbsoluteXenophobe";1
"tr00075";"Abstract Scale";2;"AbstractScale";1
"tr00076";"Absurd Altitude";3;"AbsurdAltitude";1
"tr00077";"Absurd Cutting Power";3;"AbsurdCuttingPower";1
"tr00078";"Absurdism";7;"Absurdism";1
"tr00079";"Absurdly Bright Light";3;"AbsurdlyBrightLight";3
"tr00080";"Absurdly Cool City";5;"AbsurdlyCoolCity";4
"tr00081";"Absurdly Dedicated Worker";4;"AbsurdlyDedicatedWorker";1
"tr00082";"Absurdly High-Stakes Game";17;"AbsurdlyHighStakesGame";7
"tr00083";"Absurdly Ineffective Barricade";19;"AbsurdlyIneffectiveBarricade";12
"tr00084";"Absurdly Long Limousine";4;"AbsurdlyLongLimousine";0
"tr00085";"Absurdly Long Stairway";12;"AbsurdlyLongStairway";7
"tr00086";"Absurdly Powerful Student Council";12;"AbsurdlyPowerfulStudentCouncil";4
"tr00087";"Absurdly Sharp Blade";78;"AbsurdlySharpBlade";59
"tr00088";"Absurdly Sharp Claws";3;"AbsurdlySharpClaws";2
"tr00089";"Absurdly Spacious Sewer";50;"AbsurdlySpaciousSewer";20
"tr00090";"Absurdly Youthful Mother";10;"AbsurdlyYouthfulMother";6
"tr00091";"Absurd Phobia";1;"AbsurdPhobia";1
"tr00092";"Abuse Mistake";13;"AbuseMistake";4
"tr00093";"Abusive Alien Parents";1;"AbusiveAlienParents";1
"tr00094";"Abusive Parents";358;"AbusiveParents";200
"tr00095";"Abusive Precursors";4;"AbusivePrecursors";3
"tr00096";"Academic Alpha Bitch";10;"AcademicAlphaBitch";8
"tr00097";"Academic Athlete";7;"AcademicAthlete";2
"tr00098";"Academy of Adventure";1;"AcademyOfAdventure";1
"tr00099";"Academy of Evil";4;"AcademyOfEvil";2
"tr00100";"A Cappella";9;"ACappella";6
"tr00101";"A Cat in a Gang of Dogs";5;"ACatInAGangOfDogs";2
"tr00102";"Accent Adaptation";12;"AccentAdaptation";9
"tr00103";"Accent Depundent";1;"AccentDepundent";0
"tr00104";"Accent Relapse";13;"AccentRelapse";6
"tr00105";"Accentuate the Negative";6;"AccentuateTheNegative";5
"tr00106";"AcCENT Upon the Wrong SylLABle";25;"AccentOnTheWrongSyllable";9
"tr00107";"Acceptable Breaks from Reality";33;"AcceptableBreakFromReality";20
"tr00108";"Acceptable Feminine Goals and Traits";4;"AcceptableFeminineGoals";2
"tr00109";"Acceptable Professional Targets";6;"AcceptableProfessionalTargets";2
"tr00110";"Acceptable Religious Targets";2;"AcceptableReligiousTargets";1
"tr00111";"Acceptable Targets";39;"AcceptableTargets";15
"tr00112";"Accessory-Wearing Cartoon Animal";14;"AccessoryWearingCartoonAnimal";8
"tr00113";"Accidental Adultery";9;"AccidentalAdultery";4
"tr00114";"Accidental Aesop";2;"AccidentalAesop";1
"tr00115";"Accidental Aiming Skills";22;"AccidentalAimingSkills";8
"tr00116";"Accidental Art";2;"AccidentalArt";0
"tr00117";"Accidental Athlete";22;"AccidentalAthlete";5
"tr00118";"Accidental Bargaining Skills";1;"AccidentalBargainingSkills";0
"tr00119";"Accidental Bid";4;"AccidentalBid";1
"tr00120";"Accidental Dance Craze";1;"AccidentalDanceCraze";0
"tr00121";"Accidental Hand Hold";1;"AccidentalHandHold";1
"tr00122";"Accidental Hero";30;"AccidentalHero";13
"tr00123";"Accidental Hug";3;"AccidentalHug";2
"tr00124";"Accidental Innuendo";28;"AccidentalInnuendo";7
"tr00125";"Accidental Kidnapping";12;"AccidentalKidnapping";4
"tr00126";"Accidental Kiss";17;"AccidentalKiss";9
"tr00127";"Accidentally Broke the MacGuffin";6;"AccidentallyBrokeTheMacGuffin";1
"tr00128";"Accidentally Correct Writing";5;"AccidentallyCorrectWriting";2
"tr00129";"Accidentally Correct Zoology";1;"AccidentallyCorrectZoology";0
"tr00130";"Accidental Marriage";16;"AccidentalMarriage";7
"tr00131";"Accidental Misnaming";138;"AccidentalMisnaming";57
"tr00132";"Accidental Murder";75;"AccidentalMurder";28
"tr00133";"Accidental Pervert";45;"AccidentalPervert";18
"tr00134";"Accidental Pornomancer";2;"AccidentalPornomancer";0
"tr00135";"Accidental Proposal";3;"AccidentalProposal";1
"tr00136";"Accidental Public Confession";16;"AccidentalPublicConfession";5
"tr00137";"Accidental Pun";10;"AccidentalPun";4
"tr00138";"Accidental Rhyme";1;"AccidentalRhyme";1
"tr00139";"Accidental Truth";19;"AccidentalTruth";7
"tr00140";"Accidental Unfortunate Gesture";3;"AccidentalUnfortunateGesture";2
"tr00141";"Accidental Ventriloquism";2;"AccidentalVentriloquism";0
"tr00142";"Acclaimed Flop";9;"AcclaimedFlop";4
"tr00143";"Accomplice by Inaction";5;"AccompliceByInaction";4
"tr00144";"Accuser of the Brethren";1;"AccuserOfTheBrethren";0
"tr00145";"Accuse the Witness";3;"AccuseTheWitness";0
"tr00146";"Ace Custom";9;"AceCustom";6
"tr00147";"Ace Pilot";61;"AcePilot";25
"tr00148";"A Chat with Satan";3;"AChatWithSatan";1
"tr00149";"Achey Scars";2;"AcheyScars";1
"tr00150";"Achievements in Ignorance";28;"AchievementInIgnorance";14
"tr00151";"Achievement Test of Destiny";1;"AchievementTestOfDestiny";1
"tr00152";"A Child Shall Lead Them";17;"AChildShallLeadThem";7
"tr00153";"Achilles' Heel";58;"AchillesHeel";34
"tr00154";"Achilles in His Tent";16;"AchillesInHisTent";11
"tr00155";"Achilles' Power Cord";2;"AchillesPowerCord";0
"tr00156";"Acid Pool";3;"AcidPool";2
"tr00157";"Acid Reflux Nightmare";4;"AcidRefluxNightmare";0
"tr00158";"Acid-Trip Dimension";10;"AcidTripDimension";5
"tr00159";"Acme Products";13;"AcmeProducts";4
"tr00160";"Acoustic License";25;"AcousticLicense";11
"tr00161";"Acquainted with Emergency Services";2;"AcquaintedWithEmergencyServices";2
"tr00162";"Acquired Error at the Printer";3;"AcquiredErrorAtThePrinter";2
"tr00163";"Acquired Poison Immunity";7;"AcquiredPoisonImmunity";4
"tr00164";"Acquired Situational Narcissism";19;"AcquiredSituationalNarcissism";11
"tr00165";"Acquitted Too Late";16;"AcquittedTooLate";3
"tr00166";"A Crack in the Ice";5;"ACrackInTheIce";5
"tr00167";"Acrofatic";47;"Acrofatic";30
"tr00168";"Acronym and Abbreviation Overload";4;"AcronymAndAbbreviationOverload";1
"tr00169";"Acronym Confusion";6;"AcronymConfusion";3
"tr00170";"Acrophobic Bird";9;"AcrophobicBird";4
"tr00171";"Acting for Two";47;"ActingForTwo";25
"tr00172";"Acting in the Dark";1;"ActingInTheDark";1
"tr00173";"Acting Unnatural";17;"ActingUnnatural";9
"tr00174";"Acting Your Intellectual Age";5;"ActingYourIntellectualAge";3
"tr00175";"Action-Adventure";2;"ActionAdventure";0
"tr00176";"Action/Adventure Tropes";1;"ActionadventureTropes";1
"tr00177";"Action Bomb";13;"ActionBomb";12
"tr00178";"Action Dad";18;"ActionDad";13
"tr00179";"Action Dress Rip";27;"ActionDressRip";14
"tr00180";"Action Duo";17;"ActionDuo";10
"tr00181";"Action Fashionista";1;"ActionFashionista";0
"tr00182";"Action Figure File Card";1;"ActionFigureFileCard";0
"tr00183";"Action Figure Speech";3;"ActionFigureSpeech";1
"tr00184";"Action Film, Quiet Drama Scene";151;"ActionFilmQuietDramaScene";100
"tr00185";"Action Genre";2;"ActionGenre";2
"tr00186";"Action Genre Hero Guy";3;"ActionGenreHeroGuy";3
"tr00187";"Action Girl";381;"ActionGirl";253
"tr00188";"Action Girlfriend";1;"ActionGirlfriend";0
"tr00189";"Action Hero";36;"ActionHero";16
"tr00190";"Action-Hero Babysitter";7;"ActionHeroBabysitter";6
"tr00191";"Action-Hogging Opening";3;"ActionHoggingOpening";1
"tr00192";"Action Insurance Gag";7;"ActionInsuranceGag";2
"tr00193";"Actionized Adaptation";17;"ActionizedAdaptation";10
"tr00194";"Actionized Sequel";56;"ActionizedSequel";37
"tr00195";"Action Mom";29;"ActionMom";18
"tr00196";"Action Pet";1;"ActionPet";0
"tr00197";"Action Politician";5;"ActionPolitician";3
"tr00198";"Action Prologue";131;"ActionPrologue";72
"tr00199";"Action Survivor";132;"ActionSurvivor";83
"tr00200";"Activation Sequence";23;"ActivationSequence";5
"tr00201";"Activist Fundamentalist Antics";6;"ActivistFundamentalistAntics";4
"tr00202";"Act of True Love";15;"ActOfTrueLove";11
"tr00203";"Actor Allusion";548;"ActorAllusion";278
"tr00204";"Actor-Inspired Element";2;"ActorInspiredElement";2
"tr00205";"Actor IS the Title Character";15;"ActorIsTheTitleCharacter";8
"tr00206";"Actor/Role Confusion";3;"ActorRoleConfusion";2
"tr00207";"Actor-Shared Background";2;"ActorSharedBackground";0
"tr00208";"Actor Swap";1;"ActorSwap";1
"tr00209";"Actually a Doombot";8;"ActuallyADoombot";6
"tr00210";"Actually Four Mooks";1;"ActuallyFourMooks";0
"tr00211";"Actually, I Am Him";19;"ActuallyIAmHim";4
"tr00212";"Actually Not a Vampire";2;"ActuallyNotAVampire";1
"tr00213";"Actually Pretty Funny";191;"ActuallyPrettyFunny";85
"tr00214";"Actually, That's My Assistant";17;"ActuallyThatsMyAssistant";7
"tr00215";"Actual Pacifist";24;"ActualPacifist";10
"tr00216";"A-Cup Angst";16;"ACupAngst";6
"tr00217";"Adam and Eve Plot";18;"AdamAndEvePlot";10
"tr00218";"Adam and/or Eve";7;"AdamAndOrEve";2
"tr00219";"Adam Smith Hates Your Guts";1;"AdamSmithHatesYourGuts";1
"tr00220";"Adam Westing";82;"AdamWesting";55
"tr00221";"Adaptational Alternate Ending";45;"AdaptationalAlternateEnding";18
"tr00222";"Adaptational Angst Upgrade";49;"AdaptationalAngstUpgrade";32
"tr00223";"Adaptational Attractiveness";222;"AdaptationalAttractiveness";135
"tr00224";"Adaptational Backstory Change";2;"AdaptationalBackstoryChange";2
"tr00225";"Adaptational Badass";137;"AdaptationalBadass";104
"tr00226";"Adaptational Comic Relief";10;"AdaptationalComicRelief";5
"tr00227";"Adaptational Consent";5;"AdaptationalConsent";2
"tr00228";"Adaptational Context Change";3;"AdaptationalContextChange";2
"tr00229";"Adaptational Curves";9;"AdaptationalCurves";7
"tr00230";"Adaptational Dumbass";7;"AdaptationalDumbass";3
"tr00231";"Adaptational Early Appearance";13;"AdaptationalEarlyAppearance";8
"tr00232";"Adaptational Heroism";272;"AdaptationalHeroism";143
"tr00233";"Adaptational Intelligence";17;"AdaptationalIntelligence";12
"tr00234";"Adaptational Jerkass";29;"AdaptationalJerkass";23
"tr00235";"Adaptational Job Change";9;"AdaptationalJobChange";7
"tr00236";"Adaptational Karma";15;"AdaptationalKarma";3
"tr00237";"Adaptational Modesty";46;"AdaptationalModesty";28
"tr00238";"Adaptational Nationality";46;"AdaptationalNationality";24
"tr00239";"Adaptational Nice Guy";45;"AdaptationalNiceGuy";29
"tr00240";"Adaptational Sexuality";25;"AdaptationalSexuality";10
"tr00241";"Adaptational Superpower Change";13;"AdaptationalSuperpowerChange";13
"tr00242";"Adaptational Ugliness";39;"AdaptationalUgliness";16
"tr00243";"Adaptational Villainy";258;"AdaptationalVillainy";132
"tr00244";"Adaptational Wimp";80;"AdaptationalWimp";49
"tr00245";"Adaptation Amalgamation";8;"AdaptationAmalgamation";3
"tr00246";"Adaptation Decay";9;"AdaptationDecay";5
"tr00247";"Adaptation Deviation";20;"AdaptationDeviation";14
"tr00248";"Adaptation Displacement";40;"AdaptationDisplacement";10
"tr00249";"Adaptation Distillation";285;"AdaptationDistillation";135
"tr00250";"Adaptation Dye-Job";180;"AdaptationalDyeJob";96
"tr00251";"Adaptation Expansion";389;"AdaptationExpansion";187
"tr00252";"Adaptation Explanation Extrication";62;"AdaptationExplanationExtrication";39
"tr00253";"Adaptation-Induced Plot Hole";71;"AdaptationInducedPlothole";43
"tr00254";"Adaptation Inspiration";5;"AdaptationInspiration";3
"tr00255";"Adaptation Name Change";255;"AdaptationNameChange";108
"tr00256";"Adaptation Origin Connection";28;"AdaptationOriginConnection";20
"tr00257";"Adaptation Overdosed";8;"AdaptationOverdosed";3
"tr00258";"Adaptation Personality Change";87;"AdaptationPersonalityChange";55
"tr00259";"Adaptation Relationship Overhaul";9;"AdaptationRelationshipOverhaul";5
"tr00260";"Adaptation Species Change";36;"AdaptationSpeciesChange";18
"tr00261";"Adapted Out";291;"AdaptedOut";155
"tr00262";"Adaptive Ability";4;"AdaptiveAbility";3
"tr00263";"Adaptive Armor";2;"AdaptiveArmor";1
"tr00264";"A Darker Me";1;"ADarkerMe";1
"tr00265";"A Date with Rosie Palms";204;"ADateWithRosiepalms";111
"tr00266";"A Day in Her Apron";3;"ADayInHerApron";0
"tr00267";"A Day in the Limelight";26;"ADayInTheLimelight";19
"tr00268";"Added Alliterative Appeal";67;"AddedAlliterativeAppeal";24
"tr00269";"Addiction Displacement";11;"AddictionDisplacement";5
"tr00270";"Addiction-Powered";2;"AddictionPowered";0
"tr00271";"Addictive Magic";1;"AddictiveMagic";1
"tr00272";"Ad Dissonance";3;"AdDissonance";2
"tr00273";"Addled Addict";14;"AddledAddict";10
"tr00274";"A Deadly Affair";7;"ADeadlyAffair";2
"tr00275";"A Death in the Limelight";10;"ADeathInTheLimelight";6
"tr00276";"A Degree in Useless";8;"ADegreeInUseless";4
"tr00277";"Ad Hominem";2;"AdHominem";1
"tr00278";"A Dick in Name";4;"ADickInName";2
"tr00279";"Adipose Rex";20;"AdiposeRex";8
"tr00280";"Adjacent to This Complete Breakfast";1;"AdjacentToThisCompleteBreakfast";1
"tr00281";"Adjective Animal Alehouse";5;"AdjectiveAnimalAlehouse";2
"tr00282";"Adjective Noun Fred";1;"AdjectiveNounFred";0
"tr00283";"Adjusting Your Glasses";3;"AdjustingYourGlasses";2
"tr00284";"Adminisphere";2;"Adminisphere";1
"tr00285";"Admiring the Abomination";18;"AdmiringTheAbomination";12
"tr00286";"A Dog Ate My Homework";2;"ADogAteMyHomework";1
"tr00287";"A Dog Named \"Dog\"";38;"ADogNamedDog";20
"tr00288";"Adolf Hitlarious";13;"AdolfHitlarious";4
"tr00289";"Adopted into Royalty";2;"AdoptedIntoRoyalty";0
"tr00290";"Adopted to the House";3;"AdoptedToTheHouse";1
"tr00291";"Adoption Diss";7;"AdoptionDiss";4
"tr00292";"Adoption Is Not an Option";1;"AdoptionIsNotAnOption";0
"tr00293";"Adoptive Peer Parent";1;"AdoptivePeerParent";1
"tr00294";"Adopt the Dog";5;"AdoptTheDog";2
"tr00295";"Adopt the Food";1;"AdoptTheFood";0
"tr00296";"Adorable Abomination";3;"AdorableAbomination";2
"tr00297";"Adorable Evil Minions";7;"AdorableEvilMinions";4
"tr00298";"Adorably Precocious Child";18;"AdorablyPrecociousChild";9
"tr00299";"Adored by the Network";1;"AdoredByTheNetwork";0
"tr00300";"Adoring the Pests";6;"AdoringThePests";4
"tr00301";"Adorkable";350;"Adorkable";218
"tr00302";"Adrenaline Makeover";26;"AdrenalineMakeover";14
"tr00303";"Adrenaline Time";16;"AdrenalineTime";14
"tr00304";"Adult Fear";591;"AdultFear";362
"tr00305";"Adults Are More Anthropomorphic";1;"AdultsAreMoreAnthropomorphic";1
"tr00306";"Adults Are Useless";162;"AdultsAreUseless";73
"tr00307";"Adults Dressed as Children";6;"AdultsDressedAsChildren";3
"tr00308";"Advanced Ancient Acropolis";5;"AdvancedAncientAcropolis";4
"tr00309";"Advanced Ancient Humans";1;"AdvancedAncientHumans";1
"tr00310";"Advancing Boss of Doom";2;"AdvancingBossOfDoom";2
"tr00311";"Advancing Wall of Doom";16;"AdvancingWallofDoom";10
"tr00312";"Advantage Ball";12;"AdvantageBall";5
"tr00313";"Adventure";2;"Adventure";1
"tr00314";"Adventure Duo";4;"AdventureDuo";1
"tr00315";"Adventure Game";2;"AdventureGame";0
"tr00316";"Adventurer Archaeologist";15;"AdventurerArchaeologist";12
"tr00317";"Adventure Rebuff";2;"AdventureRebuff";0
"tr00318";"Adventurer Outfit";8;"AdventurerOutfit";3
"tr00319";"Adventurers Club";1;"AdventurersClub";0
"tr00320";"Adventures in Comaland";5;"AdventuresInComaland";4
"tr00321";"Adventure Towns";1;"AdventureTowns";0
"tr00322";"Adventurous Irish Violins";5;"AdventurousIrishViolins";2
"tr00323";"Advertised Extra";161;"AdvertisedExtra";122
"tr00324";"Advertising by Association";18;"AdvertisingByAssociation";14
"tr00325";"Advertising Campaigns";6;"AdvertisingCampaigns";1
"tr00326";"Advert-Overloaded Future";9;"AdvertOverloadedFuture";7
"tr00327";"Advice Backfire";5;"AdviceBackfire";1
"tr00328";"Aerial Canyon Chase";17;"AerialCanyonChase";11
"tr00329";"Aerith and Bob";94;"AerithAndBob";63
"tr00330";"Aerosol Flamethrower";8;"AerosolFlamethrower";4
"tr00331";"Aesop Amnesia";42;"AesopAmnesia";26
"tr00332";"Aesop Collateral Damage";10;"AesopCollateralDamage";4
"tr00333";"Aesop Enforcer";2;"AesopEnforcer";1
"tr00334";"Aesoptinum";5;"Aesoptinum";3
"tr00335";"A Father to His Men";140;"AFatherToHisMen";52
"tr00336";"A Fête Worse Than Death";4;"AFeteWorseThanDeath";2
"tr00337";"Affably Evil";446;"AffablyEvil";195
"tr00338";"Affair Hair";4;"AffairHair";2
"tr00339";"Affectionate Gesture to the Head";21;"AffectionateGestureToTheHead";15
"tr00340";"Affectionate Nickname";82;"AffectionateNickname";47
"tr00341";"Affectionate Parody";222;"AffectionateParody";81
"tr00342";"Affectionate Pickpocket";11;"AffectionatePickpocket";5
"tr00343";"Affirmative Action Girl";9;"AffirmativeActionGirl";8
"tr00344";"Affirmative Action Legacy";4;"AffirmativeActionLegacy";3
"tr00345";"AFI's 100 Years... 100 Heroes and Villains";1;"AFIS100Years100HeroesAndVillains";0
"tr00346";"AFI's 100 Years 100 Laughs";1;"AFIS100Years100Laughs";0
"tr00347";"AFI's 100 Years... 100 Movie Quotes";3;"AFIS100Years100MovieQuotes";0
"tr00348";"AFI's 100 Years... 100 Passions";1;"AFIS100Years100Passions";0
"tr00349";"AFI's 100 Years 100 Songs";1;"AFIS100Years100Songs";0
"tr00350";"AFI's 100 Years 100 Thrills";1;"AFIS100Years100Thrills";0
"tr00351";"A Fistful of Rehashes";6;"AFistfulOfRehashes";1
"tr00352";"A Foggy Day in London Town";4;"AFoggyDayInLondonTown";0
"tr00353";"A Fool and His New Money Are Soon Parted";10;"AFoolAndHisNewMoneyAreSoonParted";2
"tr00354";"A Fool for a Client";10;"AFoolForAClient";4
"tr00355";"A Form You Are Comfortable With";35;"AFormYouAreComfortableWith";17
"tr00356";"Afraid of Blood";7;"AfraidOfBlood";1
"tr00357";"Afraid of Doctors";1;"AfraidOfDoctors";0
"tr00358";"Afraid of Needles";9;"AfraidOfNeedles";3
"tr00359";"Afraid of Their Own Strength";2;"AfraidOfTheirOwnStrength";2
"tr00360";"African Chant";3;"AfricanChant";2
"tr00361";"African Terrorists";4;"AfricanTerrorists";3
"tr00362";"A Friend in Need";36;"AFriendInNeed";21
"tr00363";"Afro Asskicker";8;"AfroAsskicker";3
"tr00364";"Afrobeat";1;"AfroBeat";1
"tr00365";"Afrofuturism";4;"Afrofuturism";4
"tr00366";"After-Action Healing Drama";7;"AfterActionHealingDrama";6
"tr00367";"After-Action Patch-Up";17;"AfterActionPatchup";9
"tr00368";"After Action, Villain Analysis";5;"AfterActionVillainAnalysis";2
"tr00369";"Afterlife Antechamber";8;"AfterlifeAntechamber";3
"tr00370";"Afterlife Express";8;"AfterlifeExpress";3
"tr00371";"After-School Cleaning Duty";1;"AfterSchoolCleaningDuty";1
"tr00372";"After the End";93;"AfterTheEnd";51
"tr00373";"Against My Religion";5;"AgainstMyReligion";1
"tr00374";"Age-Appropriate Angst";9;"AgeAppropriateAngst";3
"tr00375";"Age Cut";36;"AgeCut";21
"tr00376";"Age-Gap Algebra";2;"AgeGapAlgebra";1
"tr00377";"Age-Gap Romance";17;"AgeGapRomance";7
"tr00378";"Age-Inappropriate Art";4;"AgeInappropriateArt";2
"tr00379";"Age-Inappropriate Dress";7;"AgeInappropriateDress";4
"tr00380";"Ageless Birthday Episode";2;"AgelessBirthdayEpisode";1
"tr00381";"Age Lift";158;"AgeLift";83
"tr00382";"Agent Mulder";25;"AgentMulder";16
"tr00383";"Agent Peacock";23;"AgentPeacock";11
"tr00384";"Agent Provocateur";3;"AgentProvocateur";1
"tr00385";"Agent Scully";37;"AgentScully";17
"tr00386";"Agents Dating";18;"AgentsDating";8
"tr00387";"Age of Titles";3;"AgeOfTitles";3
"tr00388";"Age-Progression Song";5;"AgeProgressionSong";2
"tr00389";"Age Without Youth";12;"AgeWithoutYouth";3
"tr00390";"Aggressive Categorism";7;"AggressiveCategorism";2
"tr00391";"Aggressive Negotiations";10;"AggressiveNegotiations";6
"tr00392";"Aggressive Submissive";2;"AggressiveSubmissive";1
"tr00393";"Agitated Item Stomping";4;"AgitatedItemStomping";0
"tr00394";"A Glass in the Hand";14;"AGlassInTheHand";2
"tr00395";"A Glass of Chianti";15;"AGlassOfChianti";6
"tr00396";"A Glitch in the Matrix";9;"AGlitchInTheMatrix";6
"tr00397";"A God Am I";104;"AGodAmI";44
"tr00398";"A God I Am Not";6;"AGodIAmNot";4
"tr00399";"Agony Beam";5;"AgonyBeam";1
"tr00400";"Agony of the Feet";109;"AgonyOfDeFeet";59
"tr00401";"A Good Name for a Rock Band";13;"AGoodNameForARockBand";9
"tr00402";"A Good Way to Die";11;"AGoodWayToDie";8
"tr00403";"Agree to Disagree";2;"AgreeToDisagree";1
"tr00404";"A Handful for an Eye";26;"AHandfulForAnEye";12
"tr00405";"A Head at Each End";8;"AHeadAtEachEnd";6
"tr00406";"A Hell of a Time";4;"AHellOfATime";2
"tr00407";"Ahem";4;"Ahem";1
"tr00408";"A Hero Is Born";4;"AHeroIsBorn";3
"tr00409";"A Hero to His Hometown";5;"AHeroToHisHometown";3
"tr00410";"A House Divided";29;"AHouseDivided";15
"tr00411";"A.I. Getting High";1;"AIGettingHigh";1
"tr00412";"A.I. Is a Crapshoot";70;"AIIsACrapshoot";38
"tr00413";"Ain't Too Proud to Beg";53;"AintTooProudToBeg";26
"tr00414";"Airborne Aircraft Carrier";6;"AirborneAircraftCarrier";6
"tr00415";"Airborne Mook";1;"AirborneMooks";1
"tr00416";"Air Guitar";8;"AirGuitar";5
"tr00417";"Air Jousting";2;"AirJousting";1
"tr00418";"Airplane Arms";5;"AirplaneArms";4
"tr00419";"Airplane of Love";2;"AirplaneOfLove";2
"tr00420";"Air Quotes";9;"AirQuotes";5
"tr00421";"Airstrike Impossible";13;"AirstrikeImpossible";2
"tr00422";"Airstrip One";6;"AirstripOne";4
"tr00423";"Air-Vent Passageway";82;"AirVentEscape";43
"tr00424";"Air Voyance";2;"AirVoyance";0
"tr00425";"A.K.A.-47";5;"AKA47";4
"tr00426";"A Kind of One";1;"AKindOfOne";1
